date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:09	110843/110843	---M--	200	added ('OK')	image/jpeg	etag:%2287150dad9384a7e635662dd226748a4e%22	https://cdn.goturkiye.com/goturkiye/shutterstock236006470.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock236006470.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:10	144876/144876	---M--	200	added ('OK')	image/jpeg	etag:%22dab2cb44f0bae947a1a9f46b41c6593f%22	https://cdn.goturkiye.com/goturkiye/shutterstock1618464916.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1618464916.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:11	94289/94289	---M--	200	added ('OK')	image/jpeg	etag:%229133430cdc2395d91bac44d7e3646151%22	https://cdn.goturkiye.com/goturkiye/shutterstock1560939497.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1560939497.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:12	206269/206269	---M--	200	added ('OK')	image/jpeg	etag:%220d8cc3d0d59c368e1f898b35fc1abb45%22	https://cdn.goturkiye.com/goturkiye/shutterstock1601627338.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1601627338.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:13	155908/155908	---M--	200	added ('OK')	image/jpeg	etag:%224ae085b5439e5d04684aa5d88750b327%22	https://cdn.goturkiye.com/goturkiye/shutterstock2108606315.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2108606315.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:14	153348/153348	---M--	200	added ('OK')	image/jpeg	etag:%22fbd788a53d31adf48a9c55ab2c94ed69%22	https://cdn.goturkiye.com/goturkiye/shutterstock1998427316.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1998427316.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:15	85328/85328	---M--	200	added ('OK')	image/jpeg	etag:%22312f9a7a935b1ff195727cc307b3d914%22	https://cdn.goturkiye.com/goturkiye/shutterstock1167766189-kapak.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1167766189-kapak.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
02:36:16	74116/74116	---M--	200	added ('OK')	image/jpeg	etag:%224a6d7aa58f2a19d7d96873d6d467ccea%22	https://cdn.goturkiye.com/goturkiye/shutterstock205087684.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock205087684.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
02:36:17	67265/67265	---M--	200	added ('OK')	image/jpeg	etag:%22972b2a8a9f7de39a857fe9569585ac4e%22	https://cdn.goturkiye.com/goturkiye/shutterstock2086353295.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2086353295.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
02:36:18	129770/129770	---M--	200	added ('OK')	image/jpeg	etag:%22a27bdb61c9428b5fea826e712d873ed0%22	https://cdn.goturkiye.com/goturkiye/shutterstock2017246679.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2017246679.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
